Fold.IL.6.HSA	Fold.IL.6.UL	Fold.IL.6.Naive	Fold.IL.6.Nickel	Fold.Naive.Nickel	Fold HSA/Naive
20.53	10.64	13.26	0.95	-0.863449162	-0.337886873
20.52	14.17	15.62	-0.56	-0.973680233	-0.227779201
20.51	9.68	18.11	-0.51	-0.974554098	-0.11151477
20.49	15.14	14.8	0.02	-0.93567957	-0.264454011
20.44	13.5	16	-0.19	-0.952584589	-0.207103522
20.39	20.69	13.23	1	-0.859080753	-0.334977945
20.37	20.41	14.55	0.58	-0.898617486	-0.272591913
20.37	20.19	14.4	1.1	-0.86376553	-0.279500545
20.34	11.82	15.34	0.32	-0.919171471	-0.234519118
20.3	12.86	12.17	1.38	-0.81921124	-0.381886857
20.28	17.34	15.86	-0.5	-0.970488254	-0.207488745
20.27	24.93	15.48	2.89	-0.764015901	-0.225455609
20.24	15.32	16.69	1.04	-0.884684796	-0.167021987
20.23	18.06	15.06	1.2	-0.862783354	-0.243871373
20.2	18.37	16.33	2.17	-0.816941646	-0.182635557
20.19	9.2	17.97	-0.42	-0.969177901	-0.104937408
20.16	15.79	14.33	0.38	-0.910096511	-0.275604683
20.11	25.66	15.5	0.96	-0.881150966	-0.218474474
20.1	15.9	18.42	0.84	-0.905109902	-0.079339145
20.03	19	14.74	0.64	-0.895646527	-0.251559753
20.01	15.61	16.45	-0.24	-0.956627593	-0.169250713
19.96	18.24	19.49	-0.4	-0.970839569	-0.022602019
19.96	16.48	15.29	-0.59	-0.974856277	-0.22268052
19.87	14.56	13.15	-0.02	-0.930658984	-0.322110333
19.82	22.12	11.27	1.33	-0.810197702	-0.410341158
19.75	12.51	15.3	0.61	-0.901436116	-0.21434744
19.73	15.18	17.63	0.28	-0.931142688	-0.10124041
19.72	14.7	14.71	0.77	-0.887390972	-0.242141748
19.71	11.89	13.85	-0.42	-0.961090755	-0.283244118
19.7	11.45	15.05	-0.55	-0.972118892	-0.224665635
19.7	15.08	15.2	0.18	-0.926842767	-0.217609672
19.68	17.61	15.47	1.15	-0.869584033	-0.2037655
19.66	18.01	13.27	0.4	-0.901927758	-0.309112215
19.65	11.55	15.19	-0.73	-0.983619669	-0.216123809
19.64	16.19	13.08	1.44	-0.826932932	-0.318078543
19.63	14.02	15.66	-0.4	-0.964282043	-0.192369335
19.61	9.68	13.47	-0.3	-0.951442371	-0.2979812
19.61	8.05	15.63	-0.06	-0.943244652	-0.192756819
19.6	18.52	18.17	-0.47	-0.972584533	-0.069594738
19.57	19.63	15.69	1.03	-0.878397848	-0.188937676
19.57	13.03	12.46	-0.24	-0.943598272	-0.345294363
19.54	15	12.59	0.81	-0.866666088	-0.338321908
19.53	15.99	18.34	-0.67	-0.982907162	-0.058056096
19.52	15.19	14.23	-0.6	-0.973929365	-0.257607575
19.45	11.24	13.62	-0.4	-0.959281537	-0.28496906
19.44	16.94	15.64	-0.4	-0.963851536	-0.185759155
19.38	14.69	15.29	0.95	-0.880126775	-0.200673589
19.36	13.71	14.53	-0.46	-0.965547763	-0.237155142
19.36	11.4	20.25	0.11	-0.947602709	0.043786881
19.36	18.35	13.61	2.06	-0.790398181	-0.282095473
19.35	12.13	14.78	-0.05	-0.940003464	-0.224278019
19.33	16.76	16.85	-0.15	-0.952148166	-0.121689061
19.31	22.73	15.5	0.27	-0.922949654	-0.1877726
19.28	9.78	16.69	-0.21	-0.955498696	-0.128063748
19.27	23.89	15.42	0.47	-0.910498911	-0.190049085
19.25	21.35	17.65	0.23	-0.933839262	-0.078993045
19.21	25.31	15.65	-0.32	-0.958969833	-0.176155449
19.19	15.96	18.24	0.67	-0.913080883	-0.046986462
