Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
297,0.395793333,0.6075725,0.890585,0.044323333,0.1782425,-0.020404167
300,0.395666667,0.60567,0.89065,0.046556667,0.179360833,-0.016823333
303,0.396016667,0.604219167,0.889668333,0.050663333,0.180016667,-0.013823333
306,0.394756667,0.6048325,0.888928333,0.053473333,0.180526667,-0.009235
309,0.392966667,0.604351667,0.888706667,0.057486667,0.180389167,-0.005509167
312,0.392653333,0.603598333,0.888954167,0.062023333,0.182261667,-0.002425
315,0.392693333,0.603585,0.888901667,0.06587,0.183565833,0.001078333
318,0.392433333,0.603326667,0.8892475,0.06934,0.183688333,0.00377
321,0.3912,0.605134167,0.889620833,0.074593333,0.185545,0.0062075
324,0.392636667,0.6040275,0.890075,0.077536667,0.186983333,0.008900833
327,0.392986667,0.604438333,0.890691667,0.078606667,0.187880833,0.010543333
330,0.39251,0.604369167,0.890166667,0.079866667,0.188666667,0.011926667
333,0.391046667,0.6034025,0.888909167,0.081876667,0.1904575,0.012755833
336,0.390906667,0.6019625,0.888613333,0.083593333,0.19103,0.012608333
339,0.389573333,0.600519167,0.888135833,0.08486,0.191900833,0.014010833
342,0.387636667,0.599724167,0.887516667,0.085683333,0.191146667,0.014806667
345,0.384823333,0.597880833,0.8862425,0.086513333,0.192055,0.014739167
348,0.383363333,0.597141667,0.886010833,0.088376667,0.19213,0.0149325
351,0.38284,0.596783333,0.885855833,0.089406667,0.191938333,0.01649
354,0.380776667,0.597246667,0.88493,0.090076667,0.191825833,0.01634
357,0.379666667,0.595030833,0.882591667,0.092436667,0.19178,0.017268333
360,0.379166667,0.594070833,0.882900833,0.095153333,0.191993333,0.015723333
363,0.37841,0.592754167,0.88321,0.09688,0.19305,0.014579167
366,0.377453333,0.592673333,0.882115833,0.099236667,0.1939375,0.013624167
369,0.377463333,0.591286667,0.880675,0.100203333,0.19575,0.011625833
372,0.37654,0.589061667,0.878848333,0.101056667,0.196488333,0.009831667
375,0.377693333,0.587964167,0.878444167,0.101353333,0.197273333,0.008515833
378,0.3775,0.587534167,0.877560833,0.101343333,0.1984225,0.007376667
381,0.376956667,0.584714167,0.876933333,0.101493333,0.198598333,0.005259167
384,0.376856667,0.584065,0.874976667,0.103433333,0.1983225,0.003048333
387,0.377126667,0.585416667,0.874363333,0.102353333,0.19784,0.001285833
390,0.376483333,0.584581667,0.872376667,0.102123333,0.19886,0.000955833
393,0.375923333,0.583750833,0.870670833,0.102616667,0.1993425,-0.000951667
396,0.375326667,0.58176,0.86906,0.103196667,0.199285,-0.002595
399,0.375296667,0.580794167,0.866221667,0.104193333,0.1992125,-0.004205833
402,0.37706,0.5796875,0.864075833,0.105883333,0.200318333,-0.005710833
405,0.376423333,0.578859167,0.861061667,0.107486667,0.199020833,-0.006846667
408,0.376686667,0.577818333,0.857909167,0.108643333,0.1990175,-0.0087275
411,0.37646,0.578025,0.855315,0.108903333,0.198033333,-0.0102875
414,0.376516667,0.576176667,0.854489167,0.108826667,0.198704167,-0.010598333
417,0.374706667,0.574300833,0.853068333,0.11056,0.199178333,-0.012458333
420,0.3752,0.572885833,0.852235,0.1113,0.198325,-0.014334167
423,0.375016667,0.571864167,0.849216667,0.111673333,0.19767,-0.014476667
426,0.376266667,0.57007,0.849071667,0.111586667,0.1984475,-0.016026667
429,0.3763,0.568876667,0.848714167,0.111823333,0.198044167,-0.0169
432,0.37409,0.567445,0.847605,0.110396667,0.196985833,-0.018138333
435,0.373056667,0.5655625,0.846590833,0.10935,0.198155833,-0.020863333
438,0.37308,0.562891667,0.8454125,0.10919,0.196690833,-0.022699167
441,0.372213333,0.562031667,0.8432875,0.108656667,0.197258333,-0.023804167
444,0.3701,0.56057,0.840624167,0.107966667,0.19727,-0.025989167
